iter	Logloss
0	0.6325331591
1	0.595319128
2	0.563898021
3	0.5263160259
4	0.4985260926
5	0.4713599742
6	0.4414843233
7	0.4214598294
8	0.4022034766
9	0.3819122334
10	0.3687289919
11	0.3507096004
12	0.3375601906
13	0.3253971836
14	0.3135834663
15	0.2988297075
16	0.2852583042
17	0.2764304845
18	0.2676739903
19	0.2586052443
20	0.2490463883
21	0.2397911134
22	0.2322077201
23	0.2226422834
24	0.2177925007
25	0.2109320527
26	0.2056965371
27	0.1988977253
28	0.1924675177
29	0.1850959045
30	0.1809479175
31	0.1762982711
32	0.1727299242
33	0.1694379804
34	0.1665080979
35	0.1633653975
36	0.1606745254
37	0.1570228542
38	0.1544255289
39	0.1518727692
40	0.1491621321
41	0.1471165324
42	0.1452751657
43	0.1431705713
44	0.1411383139
45	0.1378030464
46	0.1359962657
47	0.1328789671
48	0.1309626076
49	0.1282187777
50	0.1255828072
51	0.1235860252
52	0.1220735727
53	0.1196320505
54	0.1174640702
55	0.1155708258
56	0.1130837015
57	0.11096549
58	0.1090984624
59	0.1073468743
60	0.1053196803
61	0.1036765039
62	0.1020588334
63	0.100369835
64	0.09861308996
65	0.09687552344
66	0.09516587107
67	0.09339997565
68	0.09174728109
69	0.09034079455
70	0.0885999993
71	0.08730967423
72	0.08581234565
73	0.08459797073
74	0.08329014886
75	0.08187920244
76	0.08064942362
77	0.07942152698
78	0.07819187608
79	0.0769867501
80	0.07572223742
81	0.07476066116
82	0.07373031944
83	0.07271623915
84	0.07171050617
85	0.07073071981
86	0.06978956511
87	0.06885676777
88	0.06794641903
89	0.06706825478
90	0.06619131427
91	0.06534533754
92	0.06452582086
93	0.06367674699
94	0.0628960814
95	0.06209693514
96	0.06133275948
97	0.06058754554
98	0.05985721767
99	0.05915442221
