iter	Passed	Remaining
0	55	5488
1	55	2726
2	55	1807
3	56	1344
4	56	1068
5	56	883
6	56	750
7	56	650
8	56	573
9	56	512
10	57	461
11	57	419
12	57	384
13	57	353
14	57	326
15	57	303
16	57	282
17	58	264
18	58	248
19	58	233
20	58	220
21	58	208
22	58	197
23	59	187
24	59	177
25	59	168
26	59	160
27	59	153
28	59	146
29	59	139
30	59	133
31	60	127
32	60	122
33	60	117
34	60	112
35	60	107
36	60	103
37	61	99
38	61	95
39	61	92
40	61	88
41	61	85
42	61	81
43	61	78
44	62	75
45	62	73
46	62	70
47	62	67
48	62	65
49	62	62
50	62	60
51	62	58
52	63	55
53	63	53
54	63	51
55	63	49
56	63	48
57	63	46
58	64	44
59	64	42
60	64	41
61	64	39
62	64	37
63	64	36
64	64	34
65	65	33
66	65	32
67	65	30
68	65	29
69	65	28
70	65	26
71	65	25
72	65	24
73	66	23
74	66	22
75	66	20
76	66	19
77	66	18
78	66	17
79	66	16
80	67	15
81	67	14
82	67	13
83	67	12
84	67	11
85	67	11
86	67	10
87	67	9
88	68	8
89	68	7
90	68	6
91	68	5
92	68	5
93	68	4
94	68	3
95	68	2
96	69	2
97	69	1
98	69	0
99	69	0
